,dob,company_id,last_active,score,member_since,state,first_name,last_name,col_year
3417,1985/09/26,17,12/08/2018,87,1980,Kansas,Karla,Stanton,1985
3424,1983/11/22,11,01/07/2019,53,1971,Vermont,Tonya,Morrow,1983
3425,1985/11/17,0,05/09/2018,83,1971,California,Brandi,Lee,1985
3433,1987/08/07,0,02/25/2018,85,1975,New Hampshire,Laura,Sanchez,1987
3437,1983/01/06,13,01/29/2018,53,1980,North Dakota,Richard,Donaldson,1983
3445,1984/10/20,13,03/03/2018,99,1970,Nevada,Jeremy,Soto,1984
3447,1982/10/25,12,10/14/2018,84,1980,New Mexico,Mark,Spencer,1982
3449,1996/02/06,1,06/11/2018,36,1981,Ohio,Jeffrey,Garcia,1996
3457,1989/04/10,18,08/04/2018,82,1983,Nebraska,Craig,Andrews,1989
3460,1984/08/27,10,08/31/2018,46,1979,Wisconsin,James,Bowen,1984
3461,1986/01/22,18,05/06/2018,67,1976,Colorado,Sean,Williams,1986
3467,1984/04/08,7,08/16/2018,95,1971,Vermont,Mr.,Scott Ramirez,1984
3469,1986/03/21,11,05/30/2018,81,1985,Alabama,Caitlin,Morgan,1986
3473,1993/03/17,12,06/26/2018,96,1978,North Carolina,Stephen,Golden,1993
3474,1991/04/28,16,01/17/2018,98,1980,Nebraska,John,Howard,1991
3488,1989/03/14,14,08/09/2018,35,1987,Oklahoma,Veronica,Cunningham,1989
3499,1983/01/01,3,09/26/2018,65,1974,Tennessee,Lauren,Johnson,1983
3509,1999/01/02,17,07/12/2018,91,1998,Illinois,Stephanie,Gardner,1999
3514,1995/01/28,20,10/17/2018,90,1978,Alabama,Alicia,Salas,1995
3515,1987/03/20,5,10/17/2018,67,1972,West Virginia,Hunter,Shaffer,1987
3517,1998/03/10,19,12/08/2018,60,1971,Hawaii,Yvette,Vance,1998
3525,1997/03/15,12,09/16/2018,54,1993,South Carolina,Denise,Miller,1997
3528,1983/04/11,17,04/16/2018,82,1982,Montana,Micheal,Pearson,1983
3542,1984/08/02,13,02/24/2018,42,1983,Wyoming,Kelly,Mclaughlin,1984
3561,1998/12/04,2,12/05/2018,88,1976,South Dakota,Jeffrey,Beasley,1998
3562,1998/08/13,6,05/26/2018,60,1982,South Dakota,Deanna,Kelly,1998
3564,1994/09/30,10,02/25/2018,46,1978,Hawaii,Carla,Day,1994
3579,1979/10/13,7,05/12/2018,92,1976,New Jersey,Lisa,Escobar,1979
3587,1990/11/22,15,07/20/2018,47,1987,Oklahoma,Rebecca,Brown,1990
3588,1997/02/02,11,08/04/2018,53,1980,North Carolina,Margaret,Smith,1997
3591,1997/03/29,13,03/11/2018,57,1992,New Jersey,Daniel,Bird,1997
3597,1989/05/01,5,08/19/2018,66,1978,New Mexico,Melissa,Perez,1989
3600,1998/01/01,20,03/23/2018,41,1982,Indiana,Mr.,Joel Barnett,1998
3602,1997/09/02,15,03/18/2018,47,1978,Alabama,James,Fuentes,1997
3611,1971/09/30,14,06/02/2018,37,1970,Maryland,Travis,Jones,1971
3615,1993/02/04,5,03/29/2018,65,1991,New York,Jerry,Golden,1993
3620,1994/08/02,0,02/17/2018,90,1978,Maryland,Brittany,Phillips,1994
3623,1996/01/05,19,08/14/2018,83,1985,Idaho,Angela,Burke,1996
3626,1993/05/19,9,05/03/2018,34,1980,North Carolina,Julian,Garcia,1993
3639,1987/06/30,0,11/21/2018,67,1978,Iowa,Eric,Roberts,1987
3642,1987/04/27,19,03/06/2018,61,1973,South Carolina,Annette,Smith,1987
3652,1987/12/14,19,04/21/2018,69,1974,Montana,Lauren,Bruce,1987
3653,1991/04/05,6,04/24/2018,47,1979,Indiana,Heather,Rasmussen,1991
3659,1988/07/24,2,08/16/2018,44,1978,Georgia,Brianna,Ramirez,1988
3660,1994/03/26,18,09/08/2018,68,1990,Idaho,Christine,Weber,1994
3663,1975/03/30,1,10/29/2018,75,1973,Arkansas,Mario,Edwards,1975
3669,1991/07/15,7,03/18/2018,85,1981,South Carolina,Heather,Hernandez,1991
3680,1996/06/18,1,08/21/2018,94,1984,New Jersey,Sarah,Arellano,1996
3686,1990/06/18,7,01/22/2018,88,1983,Georgia,Kevin,Lopez,1990
3690,1972/10/01,18,12/14/2018,45,1971,California,Ashley,Palmer,1972
3719,1995/08/06,16,05/27/2018,46,1986,Minnesota,Crystal,French,1995
3723,1978/09/17,8,01/23/2018,46,1970,Alaska,Michael,Boyd,1978
3725,1996/11/24,5,02/16/2018,60,1990,Maine,Todd,Santiago,1996
3726,1991/03/27,16,04/28/2018,93,1988,Oklahoma,Tyler,Chapman,1991
3727,1987/03/23,16,02/28/2018,65,1985,New Jersey,Ashley,Brown,1987
3728,1991/09/10,19,10/30/2018,58,1988,Maryland,Jean,Franklin,1991
3730,1991/05/12,17,01/05/2019,33,1978,New Jersey,Dakota,Little,1991
3731,1995/12/27,2,05/28/2018,66,1973,Ohio,Brenda,Wilson,1995
3733,1998/11/22,10,08/12/2018,56,1997,Montana,Margaret,Powell,1998
3745,1992/10/03,15,07/13/2018,35,1981,Indiana,Jasmine,Turner,1992
3747,1973/07/31,13,01/25/2018,48,1971,Utah,Stephanie,Rowe,1973
3748,1977/11/01,9,06/22/2018,74,1974,Louisiana,Joanne,George,1977
3749,1992/10/30,9,10/26/2018,81,1973,Alaska,Douglas,Richardson,1992
3750,1991/05/30,3,08/19/2018,96,1988,Maryland,Mrs.,Amy Peterson,1991
3758,1982/04/02,19,05/10/2018,88,1979,North Dakota,Elizabeth,Holloway,1982
3759,1998/03/20,10,09/29/2018,42,1980,Indiana,Lisa,Mcintyre,1998
3762,1998/10/04,2,03/15/2018,43,1988,Wisconsin,William,Moore,1998
3765,1997/06/18,8,08/02/2018,65,1981,Maine,Beverly,Nielsen,1997
3768,1990/08/22,12,12/25/2018,46,1974,California,Tracy,Farrell,1990
3780,1994/01/28,13,10/25/2018,76,1980,Oklahoma,Anthony,Li,1994
3781,1994/07/02,3,07/29/2018,57,1988,Missouri,Mr.,William Hoffman MD,1994
3787,1990/09/20,3,10/17/2018,96,1985,Arizona,Wanda,Oliver,1990
3789,1994/10/12,13,01/23/2018,50,1979,Connecticut,William,Willis,1994
3800,1991/12/07,8,08/31/2018,65,1977,Georgia,Scott,Novak,1991
3802,1978/01/04,4,07/12/2018,86,1975,New Hampshire,Stephanie,Brooks,1978
3804,1975/12/10,4,10/27/2018,37,1973,California,Jennifer,Hartman,1975
3816,1990/04/11,19,09/12/2018,94,1972,Massachusetts,Tiffany,Lopez,1990
3818,1990/11/08,7,08/11/2018,48,1972,Georgia,Bradley,Burns,1990
3822,1996/06/09,10,05/06/2018,31,1995,Nevada,Tamara,Cooper,1996
3824,1998/06/06,13,11/01/2018,73,1971,Missouri,Timothy,Wood,1998
3827,1998/09/06,14,06/17/2018,79,1987,Illinois,Julie,Boyd,1998
3830,1996/11/19,3,01/09/2019,71,1978,Indiana,James,Gonzales,1996
3831,1980/08/09,15,01/05/2019,47,1974,Illinois,Samantha,Anderson,1980
3847,1993/08/18,19,01/18/2018,60,1970,Wyoming,Catherine,Rivera,1993
3848,1993/07/09,15,10/08/2018,36,1975,Mississippi,Michael,Miller,1993
3849,1989/06/24,16,11/21/2018,95,1988,Tennessee,Jonathan,Lane,1989
3860,1982/10/01,4,04/27/2018,78,1976,Tennessee,Elizabeth,Hansen,1982
3863,1981/07/24,9,01/12/2018,73,1978,Pennsylvania,Sarah,Sanchez,1981
3865,1980/09/17,17,07/05/2018,81,1971,Kansas,Patrick,Taylor II,1980
3891,1992/10/25,18,02/07/2018,90,1975,Utah,Jamie,Everett,1992
3894,1994/12/05,13,01/10/2018,49,1979,Florida,Daniel,Barnes,1994
3912,1996/04/02,0,03/11/2018,61,1970,New Jersey,Katherine,Cunningham,1996
3917,1997/06/16,4,08/05/2018,64,1975,Illinois,Jessica,Gordon,1997
3921,1990/02/02,11,09/11/2018,59,1974,California,Beth,Perez,1990
3924,1981/05/08,18,07/31/2018,81,1975,West Virginia,Toni,Simpson,1981
3933,1986/01/30,1,07/21/2018,34,1975,Virginia,Dylan,Scott,1986
3942,1992/03/31,16,06/13/2018,69,1975,Rhode Island,Elijah,Valdez,1992
3943,1992/11/17,0,01/19/2018,42,1981,Montana,Mark,Martinez,1992
3949,1993/01/06,14,02/04/2018,41,1990,New Mexico,Justin,Rose,1993
3969,1988/01/24,18,07/18/2018,35,1984,Massachusetts,Maria,Hernandez,1988
3970,1991/06/14,16,10/05/2018,40,1981,Mississippi,Benjamin,Graves,1991
3972,1985/08/20,12,01/24/2018,41,1977,Louisiana,Alexander,Bishop,1985
3984,1991/09/06,9,02/16/2018,49,1972,Maine,Edward,Campbell,1991
3995,1988/11/23,3,01/17/2018,99,1975,Louisiana,Julie,Davidson,1988
3996,1995/03/20,10,12/02/2018,96,1994,Florida,Lisa,Dillon,1995
4009,1976/12/10,20,10/20/2018,36,1970,West Virginia,Ebony,Lewis,1976
4021,1990/01/14,20,10/06/2018,93,1982,Connecticut,Dominique,Walters,1990
4022,1985/05/08,19,11/05/2018,45,1970,Illinois,Jake,Lane,1985
4028,1989/08/29,15,05/31/2018,47,1986,Arkansas,Joshua,Davis,1989
4029,1980/05/05,2,09/23/2018,45,1979,Oklahoma,Robert,Thomas,1980
4037,1994/04/10,3,04/26/2018,59,1983,Kansas,Mrs.,Jaime Nguyen,1994
4051,1991/11/24,8,09/02/2018,31,1981,Maryland,Sara,Miller,1991
4052,1980/07/15,2,01/09/2018,51,1975,New York,Paul,Mcpherson,1980
4055,1994/09/15,0,09/10/2018,46,1979,Utah,Kristina,Fuller,1994
4056,1996/08/24,13,03/29/2018,38,1989,Missouri,Todd,Mitchell,1996
4060,1995/06/01,7,03/03/2018,41,1984,Vermont,Brian,Garcia,1995
4076,1996/11/02,9,02/13/2018,70,1993,Delaware,Dana,Weaver,1996
4079,1990/08/31,0,07/16/2018,59,1981,Maryland,Stacey,Harper,1990
4082,1988/10/12,19,02/20/2018,55,1976,Kansas,Erica,Green,1988
4083,1997/11/03,3,04/30/2018,86,1977,North Dakota,Elizabeth,Williams,1997
4086,1989/12/12,17,07/27/2018,40,1980,Nebraska,Luis,Cole,1989
4088,1986/05/24,10,06/13/2018,58,1985,Washington,Lisa,Jensen,1986
4090,1994/12/06,20,06/09/2018,32,1979,Minnesota,Tiffany,Stevens,1994
4091,1984/06/25,12,07/30/2018,73,1979,Minnesota,Krystal,Williams,1984
4093,1996/04/22,9,02/15/2018,90,1974,Nevada,Shannon,Miller,1996
4095,1982/02/21,12,03/19/2018,69,1980,Vermont,Antonio,Kramer,1982
4098,1981/12/27,6,08/04/2018,84,1972,Kentucky,Ashley,Williams,1981
4099,1985/07/04,0,07/18/2018,93,1977,South Dakota,Karen,Erickson,1985
4112,1995/06/22,6,02/14/2018,86,1970,Iowa,Nicole,Pierce,1995
4113,1988/09/15,4,01/30/2018,99,1978,California,William,Harris,1988
4115,1990/02/07,6,09/06/2018,30,1975,Indiana,Joshua,Bailey,1990
4118,1996/02/18,4,01/01/2019,76,1984,New Mexico,Lindsey,Flynn,1996
4126,1986/07/28,16,08/01/2018,48,1977,Minnesota,Mr.,John Kim,1986
4127,1986/09/23,1,08/27/2018,67,1971,Ohio,Ashley,Simmons,1986
4129,1993/05/24,15,02/15/2018,84,1970,Texas,Courtney,Martinez,1993
4130,1995/02/03,0,12/23/2018,37,1977,Wisconsin,Jasmine,Cox,1995
4136,1991/05/09,7,12/04/2018,45,1989,North Dakota,Nathan,Harmon,1991
4149,1987/10/14,1,11/29/2018,70,1984,Connecticut,Jessica,Miller,1987
4152,1985/05/15,15,03/16/2018,63,1977,Florida,Jared,Douglas,1985
4154,1992/06/27,12,10/06/2018,71,1985,Maryland,Stacy,Landry,1992
4161,1987/01/22,9,10/10/2018,72,1985,Missouri,Nicole,Patel,1987
4164,1993/03/31,20,12/30/2018,84,1976,Massachusetts,Rebecca,Estrada,1993
4165,1989/03/13,14,12/03/2018,40,1979,Utah,Nicholas,Jenkins,1989
4167,1972/10/13,8,05/22/2018,40,1970,Minnesota,Lisa,Castro,1972
4173,1994/01/21,16,08/30/2018,97,1985,California,Darrell,Benson,1994
4180,1996/04/19,3,12/30/2018,90,1991,New York,Rose,Savage,1996
4186,1989/02/17,9,08/06/2018,82,1974,Delaware,Christopher,Wilson,1989
4190,1994/10/03,3,04/11/2018,41,1971,Tennessee,Nancy,Hicks,1994
4193,1971/12/29,7,02/15/2018,71,1970,Delaware,Steven,Barnes,1971
4197,1977/11/25,20,08/22/2018,38,1973,Michigan,Cassandra,Moore,1977
4200,1990/07/10,18,09/19/2018,76,1980,Missouri,Nicholas,Adams,1990
4208,1979/06/20,0,07/21/2018,94,1975,Nebraska,Gregory,Christensen,1979
4210,1985/06/04,14,01/20/2018,47,1975,South Dakota,Stacy,Lane,1985
4215,1976/04/12,1,06/05/2018,52,1975,North Dakota,Johnny,Gonzalez DDS,1976
4227,1984/05/27,18,10/06/2018,76,1978,Connecticut,Timothy,Cohen,1984
4228,1987/11/05,5,07/06/2018,66,1972,Utah,Andre,Herrera,1987
4238,1993/01/26,16,07/11/2018,37,1984,Hawaii,Charles,Osborn,1993
4240,1985/03/10,5,05/04/2018,36,1977,Georgia,Teresa,Gardner,1985
4256,1990/08/02,16,03/12/2018,76,1988,Minnesota,Ellen,Lawrence,1990
4265,1978/12/30,18,03/09/2018,90,1977,Oregon,Kayla,Miller,1978
4274,1994/10/27,2,06/01/2018,67,1974,New Hampshire,Christopher,King,1994
4288,1990/12/17,20,07/07/2018,89,1975,Maryland,Travis,Pollard,1990
4294,1986/01/22,8,09/17/2018,53,1975,Oregon,Roger,Duke,1986
4298,1996/10/21,8,12/14/2018,42,1972,California,Martin,Potter,1996
4299,1997/09/09,18,11/10/2018,38,1971,Massachusetts,Jacob,Mosley,1997
4300,1996/08/04,6,03/04/2018,33,1977,Minnesota,Chelsey,Cantu,1996
4306,1991/07/24,19,05/09/2018,84,1975,Arizona,Samantha,Fletcher,1991
4307,1995/12/31,0,06/10/2018,67,1971,Iowa,Billy,Wood,1995
4311,1988/08/09,16,04/30/2018,46,1986,Idaho,Vanessa,Peters,1988
4317,1992/01/30,6,05/19/2018,51,1975,Wyoming,Alan,Gay,1992
4325,1992/10/27,18,12/12/2018,75,1970,Pennsylvania,Christina,Lewis,1992
4326,1991/10/17,7,07/16/2018,93,1986,Georgia,Stephanie,Moreno,1991
4328,1992/11/12,8,12/25/2018,69,1983,Arizona,Paula,Hardy,1992
4331,1983/05/05,13,07/31/2018,72,1977,Mississippi,Donald,Morgan,1983
4334,1984/06/16,17,04/29/2018,62,1983,Nebraska,John,Ayala,1984
4336,1972/08/07,2,05/14/2018,90,1970,Texas,Steven,Bell,1972
4338,1980/01/28,10,07/14/2018,49,1972,South Dakota,Angel,Mcintosh,1980
4344,1982/08/07,12,07/16/2018,47,1981,Minnesota,Matthew,Larson,1982
4351,1983/05/27,10,08/06/2018,74,1974,Louisiana,Laura,Thompson,1983
4352,1997/06/12,12,01/16/2018,40,1991,Delaware,Ashley,Allison,1997
4353,1989/12/24,5,05/29/2018,35,1987,New Hampshire,Julie,Edwards,1989
4356,1998/07/25,7,10/22/2018,86,1980,Missouri,Jennifer,Fox,1998
4361,1991/01/20,15,10/07/2018,76,1977,Arizona,Barbara,Smith,1991
4362,1988/05/04,13,08/31/2018,32,1975,Pennsylvania,Troy,Brooks DDS,1988
4367,1999/01/01,0,11/22/2018,98,1977,West Virginia,Robert,Johns,1999
4371,1975/09/13,0,05/05/2018,72,1973,Alaska,James,Robinson,1975
4372,1988/11/07,5,07/23/2018,86,1971,Rhode Island,Jerry,Taylor,1988
4376,1997/01/14,18,03/02/2018,89,1994,Maryland,David,Myers,1997
4377,1983/04/28,20,07/31/2018,68,1977,Montana,Dawn,Mayer,1983
4378,1986/03/26,12,05/31/2018,51,1984,Missouri,Mrs.,Erica Flowers,1986
4381,1984/06/25,20,06/11/2018,50,1975,Oklahoma,Jeffery,Lambert,1984
4384,1993/11/01,9,12/29/2018,61,1973,Texas,Christopher,Miller,1993
4390,1992/03/11,19,03/21/2018,48,1987,Massachusetts,Julie,Salazar,1992
4408,1998/05/16,5,09/23/2018,46,1984,North Carolina,Eric,Perry,1998
4409,1985/11/20,19,02/14/2018,85,1980,Missouri,Patricia,Walters,1985
4410,1994/12/04,16,03/29/2018,35,1976,Alaska,Anthony,Dean,1994
4418,1988/07/04,3,02/10/2018,78,1986,Ohio,Mark,Lindsey,1988
4419,1985/08/04,17,04/09/2018,89,1978,Arizona,Daniel,Collins,1985
4421,1997/06/26,0,08/06/2018,77,1976,South Carolina,Dr.,Michael Salazar,1997
4426,1990/05/16,4,12/24/2018,89,1981,Florida,William,Perez,1990
4427,1985/01/11,19,03/09/2018,52,1977,North Dakota,Patrick,Newman,1985
4438,1995/10/06,4,05/26/2018,59,1976,Florida,Shelby,Jones,1995
4443,1990/04/25,14,07/30/2018,85,1974,New York,Tiffany,Fritz,1990
4444,1994/02/24,11,09/17/2018,61,1981,Minnesota,Donna,Gill,1994
4449,1998/05/10,18,06/26/2018,58,1975,Oregon,Jamie,Cabrera,1998
4483,1990/06/24,7,05/24/2018,81,1982,Colorado,Denise,Atkinson,1990
4485,1976/09/26,12,11/02/2018,73,1973,Virginia,Samantha,Clayton,1976
4492,1991/12/14,3,01/09/2018,37,1971,Hawaii,Roberta,Russell,1991
4497,1990/11/01,2,05/04/2018,36,1975,New Mexico,Don,Shaw,1990
4498,1981/01/01,17,01/13/2018,86,1977,Iowa,Michelle,Dean,1981
4511,1994/06/19,11,01/15/2018,94,1991,Missouri,Sarah,Morales,1994
4512,1994/04/09,10,07/27/2018,54,1993,Minnesota,Kevin,Mckenzie,1994
4515,1977/12/06,9,10/26/2018,96,1971,Utah,Rebecca,Liu,1977
4518,1995/12/05,4,01/02/2019,89,1971,Georgia,Sheila,Frye,1995
4520,1997/01/17,19,04/21/2018,99,1980,Iowa,Trevor,Heath,1997
4526,1994/06/07,12,09/03/2018,70,1985,Kentucky,Amanda,Barry,1994
4531,1986/02/06,20,11/25/2018,59,1984,Oklahoma,Laurie,Burgess,1986
4532,1975/05/08,7,12/12/2018,70,1971,Michigan,Michael,Guzman,1975
4535,1992/10/01,12,10/27/2018,44,1985,Maine,Jose,Murphy,1992
4539,1975/10/24,5,04/13/2018,41,1970,Arizona,Courtney,King,1975
4545,1989/07/29,12,09/30/2018,98,1977,Oregon,Brittany,Hess,1989
4547,1971/09/10,3,01/22/2018,59,1970,Washington,David,Shaw,1971
4566,1990/01/13,7,09/08/2018,97,1972,Michigan,Susan,Rojas,1990
4569,1990/01/12,5,05/01/2018,31,1972,North Dakota,Donald,Christensen,1990
4570,1989/01/01,18,06/21/2018,46,1976,South Carolina,Stacey,Newton,1989
4573,1994/03/25,1,03/04/2018,53,1980,Oklahoma,Julie,Zamora,1994
4577,1997/09/01,17,04/03/2018,50,1992,Ohio,Arthur,Wright,1997
4578,1997/10/06,15,03/14/2018,45,1976,New Hampshire,Chelsea,Howard,1997
4579,1996/05/31,14,10/03/2018,34,1975,Alaska,Robert,Taylor,1996
4581,1993/03/13,19,06/16/2018,89,1971,Louisiana,Jennifer,Stewart,1993
4589,1990/05/24,3,04/12/2018,42,1981,Maine,Thomas,Brown,1990
4592,1972/12/05,16,05/27/2018,94,1971,Pennsylvania,John,Kelly,1972
4602,1997/09/15,13,02/06/2018,83,1991,Iowa,Mason,Summers,1997
4605,1990/05/04,19,09/10/2018,71,1970,Montana,Samantha,Anderson,1990
4613,1983/10/26,6,11/28/2018,41,1978,Florida,Max,Black DDS,1983
4614,1997/08/05,2,06/14/2018,39,1982,Montana,Ian,Roberts,1997
4616,1983/03/19,9,07/02/2018,88,1973,Michigan,George,Hurley,1983
4617,1997/03/18,20,02/24/2018,55,1988,Mississippi,Marissa,Fritz,1997
4619,1986/12/28,6,09/10/2018,53,1970,Connecticut,Mary,Williams,1986
4620,1992/03/06,10,12/01/2018,91,1978,Idaho,Christopher,Allen,1992
4640,1979/05/18,11,03/16/2018,53,1974,North Carolina,Kelly,Long,1979
4641,1988/01/22,13,03/22/2018,88,1980,Oklahoma,Cynthia,Massey,1988
4645,1989/05/03,9,06/28/2018,39,1973,Indiana,Mary,Weaver,1989
4653,1991/05/27,16,02/17/2018,41,1981,Vermont,Amy,Allen,1991
4655,1991/12/02,5,11/19/2018,74,1974,Kentucky,William,Huang,1991
4662,1994/05/24,7,03/10/2018,45,1983,Connecticut,Emily,Thompson,1994
4663,1997/02/28,20,05/19/2018,75,1984,Connecticut,Chris,Robinson,1997
4665,1989/09/30,4,09/22/2018,85,1988,Virginia,James,Nelson,1989
4668,1993/02/11,5,02/24/2018,66,1983,Colorado,Dylan,Davis,1993
4680,1987/07/12,9,04/13/2018,41,1973,Wyoming,Danny,Esparza,1987
4682,1995/12/17,1,02/17/2018,52,1974,Arizona,Wendy,Frederick,1995
4683,1995/01/13,8,03/27/2018,74,1979,Georgia,Thomas,Gilbert,1995
4687,1993/12/08,12,10/29/2018,99,1975,California,Katie,Woods,1993
4695,1996/07/13,17,02/07/2018,97,1983,Virginia,David,Sanders,1996
4699,1993/11/29,5,07/17/2018,53,1971,North Dakota,Kimberly,Hurley,1993
4702,1998/07/30,4,05/12/2018,67,1978,Rhode Island,Joshua,Shaw,1998
4713,1985/07/04,16,01/19/2018,44,1984,Washington,Nicole,Allen,1985
4718,1987/06/28,11,12/21/2018,73,1986,Tennessee,Laura,Aguirre,1987
4721,1986/04/10,2,08/29/2018,41,1981,Alabama,Victoria,Gomez,1986
4723,1994/01/31,4,09/04/2018,91,1983,Alaska,Jonathon,Fritz,1994
4737,1985/05/29,11,07/14/2018,59,1979,Alaska,Holly,Barron,1985
4740,1991/12/24,13,10/17/2018,74,1973,Virginia,Karen,Cruz,1991
4744,1996/07/08,2,02/20/2018,56,1972,Illinois,Matthew,Evans,1996
4756,1978/07/30,12,02/22/2018,98,1976,Massachusetts,Elizabeth,Lopez,1978
4757,1997/05/23,13,12/30/2018,52,1991,Arizona,Tanner,Crawford,1997
4766,1992/05/18,0,01/03/2019,93,1989,Virginia,Jennifer,Downs,1992
4768,1993/10/06,5,06/08/2018,51,1992,Nevada,Caleb,Barr,1993
4769,1976/01/01,0,07/31/2018,41,1974,Montana,Shannon,Harmon,1976
4772,1992/04/20,10,02/03/2018,70,1975,Kentucky,Erika,Farrell,1992
4791,1990/06/21,10,03/09/2018,33,1985,Missouri,William,George,1990
4792,1986/11/06,9,07/01/2018,79,1970,Vermont,Tracey,Davis,1986
4794,1994/03/16,0,03/19/2018,50,1988,Minnesota,Scott,Coffey,1994
4804,1997/09/06,6,01/05/2019,64,1978,Missouri,Eric,Oconnor,1997
4807,1977/11/07,9,04/03/2018,37,1973,Alaska,Deborah,Mitchell,1977
4816,1993/12/31,7,12/10/2018,31,1987,Georgia,Matthew,Morris,1993
4817,1994/01/11,16,09/01/2018,69,1977,Florida,Susan,Cox,1994
4821,1974/04/15,8,03/05/2018,54,1972,Georgia,Margaret,Perez,1974
4823,1996/01/26,12,08/18/2018,88,1990,North Dakota,James,Adams,1996
4824,1985/01/22,16,05/19/2018,76,1984,Mississippi,Ashley,Kelly,1985
4829,1989/04/09,15,02/20/2018,86,1973,New York,Nicole,Lopez,1989
4832,1998/04/01,19,07/23/2018,30,1997,Florida,Christopher,Shea,1998
4836,1996/08/12,16,07/05/2018,96,1974,Pennsylvania,Kimberly,Saunders,1996
4839,1988/09/11,3,11/22/2018,83,1970,Delaware,Jennifer,Gross,1988
4843,1997/08/15,8,07/31/2018,66,1976,Kansas,Craig,Cooper,1997
4844,1984/11/26,3,04/23/2018,30,1972,Massachusetts,Janet,Mercado,1984
4847,1990/05/19,0,05/28/2018,64,1985,Tennessee,Brenda,Mccormick,1990
4849,1986/12/24,17,11/06/2018,48,1974,New Mexico,Amanda,Thomas,1986
4850,1981/04/19,3,03/07/2018,70,1976,Oregon,Mark,Grant,1981
4851,1983/03/24,15,03/09/2018,87,1973,Minnesota,Hannah,Jackson,1983
4857,1997/10/13,10,01/29/2018,85,1991,California,Crystal,Harris,1997
4860,1995/09/24,1,09/25/2018,44,1992,North Dakota,Jon,Jones,1995
4863,1985/08/31,1,06/22/2018,45,1981,Oklahoma,Julie,Bryant,1985
4865,1997/08/20,14,04/12/2018,62,1996,Rhode Island,Jeffrey,Johnson,1997
4869,1997/07/02,0,11/17/2018,91,1974,Louisiana,Kimberly,Morales,1997
4870,1987/10/30,4,05/26/2018,65,1982,Alabama,Robert,Wilson,1987
4871,1997/08/21,8,01/15/2018,35,1988,Mississippi,Jonathan,Lewis,1997
4875,1984/06/17,10,09/06/2018,70,1980,Alabama,William,Ford,1984
4876,1982/02/27,10,07/03/2018,98,1979,Massachusetts,Kevin,Mason,1982
4878,1981/07/15,6,01/09/2018,92,1977,Georgia,Emily,Smith,1981
4879,1977/05/11,5,06/12/2018,64,1975,Nevada,Lauren,Clark,1977
4883,1995/06/26,14,06/10/2018,96,1986,North Carolina,James,Maldonado,1995
4892,1977/10/04,4,03/30/2018,85,1972,Alaska,Maria,Brock,1977
4894,1996/05/05,6,12/01/2018,33,1980,Ohio,Phillip,Parsons,1996
4899,1972/07/02,18,08/23/2018,77,1971,Tennessee,Brianna,Castro,1972
4904,1982/06/22,15,01/19/2018,70,1971,Ohio,Pamela,Golden,1982
4908,1991/12/05,9,07/02/2018,49,1979,Florida,Kristen,Sutton,1991
4912,1994/04/25,18,09/03/2018,30,1987,Oregon,Teresa,Jackson,1994
4917,1989/03/03,17,04/29/2018,42,1987,Montana,Richard,Coleman,1989
4932,1998/05/11,14,01/18/2018,56,1993,Montana,Crystal,Hernandez,1998
4935,1985/09/19,6,07/30/2018,61,1975,New York,Amanda,Herrera,1985
4937,1997/11/10,3,03/30/2018,36,1971,Texas,Tonya,Miller,1997
4942,1998/09/17,10,07/15/2018,33,1991,Idaho,Dawn,Ortiz,1998
4943,1998/06/30,10,11/12/2018,55,1973,Michigan,Jessica,Green,1998
4948,1993/10/08,0,01/24/2018,38,1984,California,Sarah,Stevens,1993
4950,1992/01/22,16,12/07/2018,68,1977,Iowa,Kevin,Dodson,1992
4951,1988/01/27,1,01/20/2018,37,1987,Louisiana,Ryan,Ballard,1988
4953,1972/09/23,20,10/10/2018,83,1971,Virginia,Michael,Allen,1972
4954,1990/05/21,12,10/04/2018,55,1974,Texas,Darren,Miller,1990
4955,1986/12/15,9,07/31/2018,56,1978,North Carolina,Martha,Johnson,1986
4957,1994/07/04,5,01/05/2019,93,1993,Connecticut,Alex,Tapia,1994
4959,1978/08/18,0,03/03/2018,34,1975,Louisiana,Jay,Davis,1978
4960,1983/01/02,17,06/28/2018,78,1971,Mississippi,Mr.,Anthony Olson,1983
4962,1986/01/12,3,11/23/2018,93,1982,Illinois,Daniel,Cole,1986
4972,1975/10/10,17,08/09/2018,75,1972,California,James,Harris,1975
4973,1997/10/16,10,02/06/2018,87,1976,New Jersey,Alan,Lee,1997
4991,1996/02/22,18,01/22/2018,63,1978,Hawaii,Darlene,Mcguire,1996
4994,1983/12/23,12,03/14/2018,32,1977,Iowa,Sarah,Mckay,1983
4995,1995/03/27,11,10/12/2018,60,1979,Oregon,Stephanie,Smith,1995
4997,1993/02/09,2,06/09/2018,35,1989,South Carolina,Kim,Collier,1993
5000,1991/08/03,13,08/27/2018,58,1980,South Carolina,Steven,Meadows,1991
5010,1979/06/28,16,10/27/2018,43,1975,Illinois,Christina,Nicholson,1979
5012,1979/02/02,11,06/22/2018,64,1978,Mississippi,Zachary,Lawrence,1979
5014,1997/08/23,14,06/16/2018,86,1984,Michigan,James,Taylor,1997
5023,1993/06/11,20,05/04/2018,33,1978,Georgia,Scott,Smith,1993
5024,1983/08/11,0,03/06/2018,67,1971,Maryland,Christopher,Velez,1983
